assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
BSguolijuan,2022-06-01,信喜,信喜资产,AMD_柏胜,6,1,47182.8,
BSkanghao,2022-06-01,挖财,信喜资产,AMD_柏胜,2457,1,5120095.66,
BSkanghao,2022-06-01,信喜,信喜资产,AMD_柏胜,7,1,59087.15,
BSliujun,2022-06-01,挖财,信喜资产,AMD_柏胜,2422,1,5098480.619999999,
BSliujun,2022-06-01,信喜,信喜资产,AMD_柏胜,6,1,51044.05,
BSliuxionghua,2022-06-01,信喜,信喜资产,AMD_柏胜,7,1,55281.46,
BSliuxionghua,2022-06-01,挖财,信喜资产,AMD_柏胜,2469,1,5162188.130000001,
BStangpengjun,2022-06-01,挖财,信喜资产,AMD_柏胜,2409,1,5096907.509999999,
BStangpengjun,2022-06-01,信喜,信喜资产,AMD_柏胜,6,1,50510.3,
BSwangjie,2022-06-01,挖财,信喜资产,AMD_柏胜,2495,1,5027757.31,
BSwangjie,2022-06-01,信喜,信喜资产,AMD_柏胜,9,1,77572.31999999999,
BSwushiyu,2022-06-01,信喜,信喜资产,AMD_柏胜,3,1,24614.01,
BSwushiyu,2022-06-01,挖财,信喜资产,AMD_柏胜,2478,1,5168920.250000001,
BSxieguangquan,2022-06-01,信喜,信喜资产,AMD_柏胜,10,1,84933.93000000001,
BSxieguangquan,2022-06-01,挖财,信喜资产,AMD_柏胜,2416,1,5165301.55,
BSxiejiangtao,2022-06-01,信喜,信喜资产,AMD_柏胜,8,1,61277.44,
BSxiejiangtao,2022-06-01,挖财,信喜资产,AMD_柏胜,2461,1,5080665.68,
BSyanghui,2022-06-01,信喜,信喜资产,AMD_柏胜,11,1,92151.85,
BSyanghui,2022-06-01,挖财,信喜资产,AMD_柏胜,2298,1,5014464.34,
BSzhoucong,2022-06-01,信喜,信喜资产,AMD_柏胜,6,1,48356.380000000005,
BSzhoucong,2022-06-01,挖财,信喜资产,AMD_柏胜,2314,1,5208342.380000001,
BSzhouhongyue,2022-06-01,挖财,信喜资产,AMD_柏胜,2394,1,5186592.25,
BSzhouhongyue,2022-06-01,信喜,信喜资产,AMD_柏胜,3,1,29527.79,
CSDZchendunfa,2022-06-01,挖财,信喜资产,长沙达咨,3338,1,1.30350345E7,
CSDZhulin,2022-06-01,信喜,信喜资产,长沙达咨,1,1,7217.29,
CSDZhulin,2022-06-01,挖财,信喜资产,长沙达咨,3264,1,1.3030938450000001E7,
CSDZliutianyu,2022-06-01,信用家,信用家资产,长沙达咨,397,1,1.5448579380000003E7,
CSDZliuzhiwen,2022-06-01,挖财,信喜资产,长沙达咨,3387,1,1.3033796910000004E7,
CSDZtanwenwen,2022-06-01,信用家,信用家资产,长沙达咨,403,1,1.544396892000001E7,
DSSJguohaiyan,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,22,1,178308.22000000003,
DSSJguohaiyan,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1151,1,2255042.7500000005,
DSSJhejiameng,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1053,1,2270882.95,
DSSJhejiameng,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,21,1,167550.55000000005,
DSSJliujunliang,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,20,1,167050.35,
DSSJliujunliang,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1148,1,2267659.3000000007,
DSSJliwenli,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,24,1,192732.23,
DSSJliwenli,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1101,1,2241047.4700000007,
DSSJsujinxiang,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,20,1,162407.90999999997,
DSSJsujinxiang,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1112,1,2272176.8600000003,
DSSJsunlijuan,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1134,1,2274465.6200000006,1070.25
DSSJsunlijuan,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,20,1,163734.24,
DSSJzhaoyinyin,2022-06-01,信喜,信喜资产,A-鼎晟世纪-WW,23,1,186586.47999999995,
DSSJzhaoyinyin,2022-06-01,挖财,信喜资产,A-鼎晟世纪-WW,1090,1,2248495.110000001,
DZcangshan,2022-06-01,美利,有用资产,A-棣增-WW,3342,1,9259233.679999998,1300.0
DZkangwai,2022-06-01,美利,有用资产,A-棣增-WW,3283,1,9258588.449999996,7600.0
DZliyang,2022-06-01,美利,有用资产,A-棣增-WW,3325,1,9257975.249999993,2687.0
GHHJguli,2022-06-01,WACAI,普惠资产,A-光禾汇金-WW,654,1,992088.9900000001,
GHHJguli,2022-06-01,PH,普惠资产,A-光禾汇金-WW,467,1,686868.28,
GHHJguli,2022-06-01,挖财普惠,普惠资产,A-光禾汇金-WW,510,1,813209.49,
GHHJhushouchen,2022-06-01,PH,普惠资产,A-光禾汇金-WW,473,1,683123.59,
GHHJhushouchen,2022-06-01,WACAI,普惠资产,A-光禾汇金-WW,709,1,985289.4299999998,
GHHJhushouchen,2022-06-01,挖财普惠,普惠资产,A-光禾汇金-WW,551,1,822028.02,
GHHJlixinyi,2022-06-01,PH,普惠资产,A-光禾汇金-WW,463,1,663533.2,
GHHJlixinyi,2022-06-01,WACAI,普惠资产,A-光禾汇金-WW,695,1,956924.49,
GHHJlixinyi,2022-06-01,挖财普惠,普惠资产,A-光禾汇金-WW,564,1,870231.5900000001,
GZGJguowenkang,2022-06-01,信用家,信用家资产,A-国金-WW,94,1,3706971.97,
GZGJhewang,2022-06-01,信用家,信用家资产,A-国金-WW,102,1,3711722.08,
GZGJliumiaoyan,2022-06-01,信用家,信用家资产,A-国金-WW,102,1,3705335.4599999995,
GZGJwushenjian,2022-06-01,信用家,信用家资产,A-国金-WW,102,1,3742711.31,
HCyutingxin,2022-06-01,挖财,信喜资产,AMD_赫诚,18773,1,3.964167563999997E7,
HJwubiao,2022-06-01,挖财普惠,普惠资产,惠今,77516,1,1.806062353000002E8,
HJwubiao,2022-06-01,WACAI,普惠资产,惠今,15654,1,4.166294294000001E7,
HJwubiao,2022-06-01,PH,普惠资产,惠今,12316,1,3.4022271450000025E7,
